bin_start,count
1.228,7
1.275,2
1.323,6
1.371,6
1.418,18
1.466,29
1.513,79
1.561,163
1.608,367
1.656,584
1.704,968
1.751,1461
1.799,1773
1.846,1772
1.894,1770
1.941,1597
1.989,1595
2.036,1528
2.084,1408
2.132,1284
2.179,1183
2.227,969
2.274,1008
2.322,960
2.369,904
2.417,932
2.465,917
2.512,897
2.560,879
2.607,962
2.655,981
2.702,1020
2.750,1083
2.798,1121
2.845,1305
2.893,1394
2.940,1415
2.988,1339
3.035,1248
3.083,1146
3.131,1065
3.178,1018
3.226,905
3.273,868
3.321,791
3.368,647
3.416,698
3.464,553
3.511,480
3.559,439
3.606,339
3.654,300
3.701,267
3.749,206
3.797,193
3.844,131
3.892,102
3.939,119
3.987,123
4.034,90
4.082,91
4.130,80
4.177,88
4.225,69
4.272,71
4.320,63
4.367,43
4.415,49
4.462,47
4.510,42
4.558,60
4.605,44
4.653,28
4.700,34
4.748,31
4.795,32
4.843,30
4.891,42
4.938,23
4.986,21
5.033,22
5.081,15
5.128,23
5.176,18
5.224,9
5.271,15
5.319,15
5.366,5
5.414,7
5.461,10
5.509,11
5.557,10
5.604,12
5.652,6
5.699,8
5.747,5
5.794,7
5.842,4
5.890,8
5.937,1
5.985,6
6.032,3
6.080,4
6.127,2
6.175,3
6.223,3
6.270,1
6.318,3
6.365,2
6.413,2
6.460,2
6.508,3
6.556,2
6.603,2
6.651,1
6.698,0
6.746,1
6.793,0
6.841,0
6.888,0
6.936,1
6.984,0
7.031,1
7.079,0
7.126,1
7.174,0
7.221,0
7.269,2
7.317,0
7.364,0
7.412,0
7.459,1
7.507,0
7.554,1
7.602,0
7.650,0
7.697,0
7.745,0
7.792,2
7.840,0
7.887,0
7.935,0
7.983,0
8.030,0
8.078,0
8.125,0
8.173,0
8.220,0
8.268,0
8.316,0
8.363,0
8.411,0
8.458,0
8.506,0
8.553,0
8.601,0
8.649,0
8.696,0
8.744,0
8.791,0
8.839,0
8.886,0
8.934,0
8.982,0
9.029,0
9.077,0
9.124,0
9.172,0
9.219,0
9.267,0
9.314,1
9.362,0
9.410,0
9.457,0
9.505,1
9.552,0
9.600,0
9.647,1
9.695,0
9.743,0
9.790,0
9.838,0
9.885,0
9.933,0
9.980,0
10.028,1
10.076,0
10.123,0
10.171,0
10.218,0
10.266,0
10.313,0
10.361,0
10.409,0
10.456,0
10.504,0
10.551,0
10.599,0
10.646,0
10.694,0
10.742,0
10.789,0
10.837,0
10.884,0
10.932,1
10.979,0
11.027,0
11.075,0
11.122,0
11.170,0
11.217,0
11.265,0
11.312,1
11.360,0
11.408,0
11.455,0
11.503,0
11.550,0
11.598,0
11.645,0
11.693,0
11.741,0
11.788,0
11.836,0
11.883,0
11.931,0
11.978,0
12.026,0
12.073,0
12.121,0
12.169,0
12.216,0
12.264,0
12.311,0
12.359,0
12.406,0
12.454,0
12.502,0
12.549,0
12.597,0
12.644,0
12.692,0
12.739,1
12.787,0
12.835,0
12.882,0
12.930,0
12.977,0
13.025,0
13.072,0
13.120,0
13.168,0
13.215,0
13.263,0
13.310,0
13.358,1
